app_id,library,version,is_risk,risk_type,severity,is_reachable,explanation
APP-01,spring-boot-starter,2.5.4,False,clean,low,True,No detected risk.
APP-01,hibernate-core,5.4.32,False,clean,low,True,No detected risk.
APP-01,commons-text,1.9,True,vulnerable,critical,True,Reachable vulnerable dependency (CVE-2022-42889).
APP-01,snakeyaml,1.29,True,vulnerable,high,True,Reachable vulnerable dependency (CVE-2022-1471).
APP-01,bcprov-jdk15on,1.68,True,vulnerable,high,True,Reachable vulnerable dependency (CVE-2023-0286).
APP-01,chart-lib,2.2.0,True,license_conflict,high,True,License 'GPL-2.0' incompatible with Proprietary context.
APP-01,ma-schema-0,6.4.3,True,unmaintained,medium,True,"Unmaintained: last updated 2023-10-07, 19 maintainer(s)."
APP-01,ma-math-66,4.5.6,False,clean,low,True,No detected risk.
APP-01,ma-client-39,1.5.2,False,clean,low,True,No detected risk.
APP-01,ma-model-54,6.2.1,False,clean,low,True,No detected risk.
APP-01,ma-template-15,3.8.2,False,clean,low,True,No detected risk.
APP-01,ma-math-51,6.4.8,False,clean,low,True,No detected risk.
APP-01,ma-server-45,2.7.5,False,clean,low,True,No detected risk.
APP-01,ma-crypto-48,3.6.9,False,clean,low,True,No detected risk.
APP-01,ma-text-57,2.2.0,False,clean,low,True,No detected risk.
APP-01,ma-session-36,6.8.0,False,clean,low,True,No detected risk.
APP-01,ma-http-3,2.12.5,False,clean,low,True,No detected risk.
APP-01,ma-async-30,5.2.0,False,clean,low,True,No detected risk.
APP-01,ma-cache-42,6.1.5,False,clean,low,True,No detected risk.
APP-01,ma-async-27,4.0.2,False,clean,low,True,No detected risk.
APP-01,ma-common-6,1.6.4,False,clean,low,True,No detected risk.
APP-01,ma-client-18,5.12.2,True,unmaintained,medium,True,"Unmaintained: last updated 2023-03-06, 7 maintainer(s)."
APP-01,ma-utils-24,6.1.0,False,clean,low,True,No detected risk.
APP-01,ma-math-63,4.6.0,False,clean,low,True,No detected risk.
APP-01,ma-utils-9,4.4.1,False,clean,low,True,No detected risk.
APP-01,spring-core,5.3.8,False,clean,low,True,No detected risk.
APP-01,spring-web,5.3.8,False,clean,low,True,No detected risk.
APP-01,jackson-databind,2.12.3,True,transitive_vuln,high,True,Reachable vulnerable dependency (CVE-2020-36518).
APP-01,enterprise-logging,1.4.0,False,clean,low,True,No detected risk.
APP-01,jboss-logging,3.4.1,False,clean,low,True,No detected risk.
APP-01,commons-lang3,3.12.0,False,clean,low,True,No detected risk.
APP-01,commons-logging,1.2,True,unmaintained,medium,True,"Unmaintained: last updated 2022-04-02, 8 maintainer(s)."
APP-01,jackson-core,2.12.3,False,clean,low,True,No detected risk.
APP-01,log4j-core,2.14.1,True,transitive_vuln,critical,True,Reachable vulnerable dependency (CVE-2021-44228).
APP-01,slf4j-api,1.7.30,True,unmaintained,medium,True,"Unmaintained: last updated 2023-11-07, 12 maintainer(s)."
APP-02,web-server-kit,3.1.0,False,clean,low,True,No detected risk.
APP-02,axios,0.21.1,False,clean,low,True,No detected risk.
APP-02,lodash,4.17.15,True,vulnerable,high,True,Reachable vulnerable dependency (CVE-2021-23337).
APP-02,moment,2.29.1,True,unmaintained,medium,True,"Unmaintained: last updated 2023-02-25, 6 maintainer(s)."
APP-02,ejs,3.1.6,False,clean,low,True,No detected risk.
APP-02,node-fetch,2.6.1,True,unmaintained,medium,True,"Unmaintained: last updated 2024-01-19, 9 maintainer(s)."
APP-02,tar,6.1.0,False,clean,low,True,No detected risk.
APP-02,analytics-widget,1.2.0,True,license_conflict,high,True,License 'GPL-3.0' incompatible with Proprietary context.
APP-02,np-text-10,6.7.2,False,clean,low,True,No detected risk.
APP-02,np-net-37,1.11.8,False,clean,low,True,No detected risk.
APP-02,np-parser-55,3.3.3,False,clean,low,True,No detected risk.
APP-02,np-parser-34,1.7.9,False,clean,low,True,No detected risk.
APP-02,np-model-52,5.4.6,True,unmaintained,medium,True,"Unmaintained: last updated 2023-05-11, 1 maintainer(s)."
APP-02,np-server-19,2.8.3,False,clean,low,True,No detected risk.
APP-02,np-pool-61,2.4.7,False,clean,low,True,No detected risk.
APP-02,np-queue-40,5.0.1,False,clean,low,True,No detected risk.
APP-02,np-math-1,1.3.3,True,unmaintained,medium,True,"Unmaintained: last updated 2021-09-09, 1 maintainer(s)."
APP-02,np-common-31,2.6.1,False,clean,low,True,No detected risk.
APP-02,np-metrics-22,2.8.2,False,clean,low,True,No detected risk.
APP-02,np-queue-67,4.9.9,True,unmaintained,medium,True,"Unmaintained: last updated 2021-03-11, 6 maintainer(s)."
APP-02,np-logger-58,5.7.0,False,clean,low,True,No detected risk.
APP-02,np-cache-49,6.6.0,False,clean,low,True,No detected risk.
APP-02,np-pool-16,2.5.2,False,clean,low,True,No detected risk.
APP-02,np-crypto-4,1.11.7,False,clean,low,True,No detected risk.
APP-02,np-cache-25,2.6.2,False,clean,low,True,No detected risk.
APP-02,np-logger-28,4.11.8,False,clean,low,True,No detected risk.
